CompoundID,P3_ChloraPrep_EndPoint.1,P3_ChloraPrep_EndPoint.2,P3_ChloraPrep_EndPoint.3,P3_ChloraPrep_Baseline.1,P3_ChloraPrep_Baseline.2,P3_ChloraPrep_Baseline.3,P3_ChloraPrep_PostIntervention.1,P3_ChloraPrep_PostIntervention.2,P3_ChloraPrep_PostIntervention.3,P3_FullSurgicalPrep_EndPoint.1,P3_FullSurgicalPrep_EndPoint.2,P3_FullSurgicalPrep_EndPoint.3,P3_FullSurgicalPrep_Baseline.1,P3_FullSurgicalPrep_Baseline.2,P3_FullSurgicalPrep_Baseline.3,P3_FullSurgicalPrep_PostIntervention.1,P3_FullSurgicalPrep_PostIntervention.2,P3_FullSurgicalPrep_PostIntervention.3,P3_Water_EndPoint.1,P3_Water_EndPoint.2,P3_Water_EndPoint.3,P3_Water_Baseline.1,P3_Water_Baseline.2,P3_Water_Baseline.3,P3_Water_PostIntervention.1,P3_Water_PostIntervention.2,P3_Water_PostIntervention.3
Cer.45:1;O2|Cer.17:1;O2/28:0__Pp,3.81E-05,3.63E-05,5.80E-05,4.55E-05,9.45E-05,7.25E-05,2.76E-05,4.10E-05,3.60E-05,4.91E-05,2.93E-05,5.69E-05,2.68E-05,6.29E-05,5.83E-05,2.83E-05,3.58E-05,2.98E-05,8.33E-06,9.92E-05,7.62E-05,2.94E-05,7.71E-05,2.76E-05,7.37E-05,3.15E-05,3.28E-05
Cer.46:0;O3|Cer.24:0;O2/22:0;O__Pp,6.92E-05,6.59E-05,7.33E-05,7.60E-05,0.000152256,0.000120986,5.53E-05,6.60E-05,6.12E-05,6.91E-05,1.66E-05,0.000137928,6.05E-05,9.74E-05,8.94E-05,6.74E-05,5.79E-05,3.49E-05,2.31E-05,0.000186248,3.75E-05,9.60E-05,0.000115933,5.79E-05,8.24E-05,3.44E-05,5.48E-05
Cer.46:0;O4|Cer.22:0;O3/24:0(2OH)__Pp,2.05E-05,1.95E-05,2.91E-05,3.06E-05,5.91E-05,5.15E-05,0,0,2.71E-05,3.66E-05,0,4.86E-05,2.27E-05,3.99E-05,3.40E-05,4.44E-06,0,0,0,5.71E-05,3.07E-05,3.79E-05,1.47E-05,0,2.03E-05,0,0
Cer.46:1;O2|Cer.22:1;O2/24:0__Pp,6.93E-05,6.61E-05,0.000104227,8.35E-05,0.000156887,0.000120025,5.84E-05,5.70E-05,7.46E-05,7.33E-05,6.20E-05,0.000110942,4.87E-05,9.78E-05,9.06E-05,5.62E-05,5.81E-05,6.12E-05,2.15E-05,0.000182011,0.000107107,0.000115843,0.000109036,4.35E-05,0.000118057,3.83E-05,6.28E-05
Cer.46:1;O3|Cer.20:1;O2/26:0;O__Pp,2.30E-05,2.19E-05,3.66E-05,3.09E-05,4.64E-05,4.85E-05,2.05E-05,1.50E-05,2.41E-05,3.14E-05,2.43E-05,4.48E-05,1.95E-05,3.48E-05,3.22E-05,2.36E-05,2.44E-05,0,0,6.21E-05,3.69E-05,3.86E-05,4.46E-05,0,4.91E-05,0,2.30E-05
Cer.47:1;O2|Cer.17:1;O2/30:0__Pp,3.32E-05,3.16E-05,5.04E-05,4.35E-05,7.93E-05,5.69E-05,3.14E-05,2.88E-05,3.28E-05,4.15E-05,2.81E-05,4.71E-05,2.22E-05,5.69E-05,3.95E-05,2.60E-05,2.92E-05,0,8.89E-06,9.30E-05,4.65E-05,5.70E-05,5.96E-05,0,5.27E-05,0,3.30E-05
Cer.48:0;O2|Cer.22:0;O2/26:0__Pp,4.36E-05,4.16E-05,6.47E-05,5.36E-05,9.46E-05,9.08E-05,4.10E-05,4.05E-05,4.04E-05,4.24E-05,3.79E-05,7.70E-05,3.29E-05,5.41E-05,4.80E-05,2.03E-05,3.90E-05,3.97E-05,1.40E-05,0.000131411,6.54E-05,8.02E-05,8.26E-05,3.01E-05,7.95E-05,0,3.34E-05
Cer.48:0;O3|Cer.22:0;O2/26:0;O__Pp,2.33E-05,2.22E-05,1.82E-05,5.52E-05,2.66E-05,0,0,0,4.63E-05,3.58E-05,5.37E-05,4.00E-05,0,2.72E-05,1.61E-05,5.00E-05,4.45E-05,0,0,5.91E-06,2.40E-05,7.41E-05,9.19E-05,3.67E-05,3.07E-05,0,3.99E-05
Cer.48:1;O2|Cer.20:1;O2/28:0__Pp,7.45E-05,7.10E-05,0.00011731,0.000103978,0.00018209,0.000146509,6.55E-05,6.92E-05,8.11E-05,9.43E-05,6.62E-05,0.000118883,5.38E-05,0.000118717,8.93E-05,6.12E-05,6.55E-05,6.35E-05,2.45E-05,0.000233567,0.000115365,0.000140626,0.000146735,3.10E-05,0.000130807,4.61E-05,6.62E-05
Cer.48:1;O3|Cer.22:1;O2/26:0;O__Pp,2.33E-05,2.22E-05,3.99E-05,3.50E-05,7.52E-05,4.62E-05,2.23E-05,2.90E-05,1.51E-05,2.85E-05,2.32E-05,5.73E-05,2.74E-05,4.00E-05,4.48E-05,2.94E-05,3.05E-05,0,0,7.01E-05,4.34E-05,4.00E-05,2.87E-05,0,3.96E-05,0,2.07E-05
Cer.49:0;O3|Cer.25:0;O2/24:0;O__Pp,0,0,1.65E-05,1.53E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.36E-05,0,0,0,0,0,0,0
Cer.49:1;O2|Cer.22:1;O2/27:0__Pp,4.39E-05,4.18E-05,6.64E-05,6.72E-05,0.000104187,8.89E-05,3.24E-05,3.26E-05,4.59E-05,4.68E-05,3.75E-05,6.45E-05,2.65E-05,8.30E-05,6.00E-05,3.08E-05,3.73E-05,2.24E-05,1.26E-05,0.000126414,6.38E-05,7.91E-05,8.40E-05,2.03E-05,7.16E-05,0,3.60E-05
Cer.50:1;O2|Cer.22:1;O2/28:0__Pp,8.77E-05,8.36E-05,0.000125301,0.000118438,0.000208916,0.000169813,7.83E-05,8.41E-05,8.53E-05,0.000105449,8.27E-05,0.000142315,6.28E-05,0.000130621,0.000111104,6.72E-05,8.26E-05,8.00E-05,2.81E-05,0.000228049,0.000143779,0.000151363,0.000155976,5.50E-05,0.000135847,6.30E-05,7.35E-05
Cer.50:1;O3|Cer.22:1;O2/28:0;O__Pp,0,0,3.63E-05,3.23E-05,4.79E-05,4.12E-05,0,0,0,2.28E-05,0,0,0,4.17E-05,0,0,0,0,0,5.14E-05,3.34E-05,2.55E-05,0,0,3.36E-05,0,0
Cer.50:2;O2|Cer.22:1;O2/28:1__Pp,1.43E-05,1.37E-05,2.57E-05,1.89E-05,3.10E-05,1.73E-05,0,1.77E-05,0,1.81E-05,1.88E-05,4.12E-05,0,0,3.49E-05,2.16E-05,9.17E-06,0,0,4.25E-05,4.43E-05,0,0,0,2.90E-05,0,1.31E-05
Cer.51:1;O2|Cer.21:1;O2/30:0__Pp,2.80E-05,2.67E-05,3.58E-05,3.77E-05,7.41E-05,7.51E-05,1.79E-05,2.24E-05,2.78E-05,2.67E-05,2.37E-05,5.23E-05,1.96E-05,5.19E-05,3.76E-05,1.23E-05,2.19E-05,1.91E-05,0,8.30E-05,4.59E-05,6.30E-05,5.51E-05,0,4.38E-05,0,9.38E-06
Cer.51:1;O3|Cer.22:1;O2/29:0;O__Pp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82E-05,0,0,0,0,0,0,0
Cer.51:2;O2|Cer.21:1;O2/30:1__Pp,0,0,1.72E-05,0,1.59E-05,0,0,0,0,2.00E-05,0,0,0,8.16E-06,0,1.65E-05,0,0,0,2.15E-05,0,0,3.70E-05,0,2.65E-05,0,0
Cer.51:8;O2|Cer.29:2;O2/22:6__Pp,2.16E-05,2.06E-05,0,1.05E-05,2.96E-05,0,0,0,0,0,0,2.39E-05,3.56E-05,2.23E-05,7.38E-06,0,0,0,0,8.27E-05,0,1.31E-05,0,0,4.16E-05,0,0
Cer.52:1;O2|Cer.22:1;O2/30:0__Pp,4.14E-05,3.95E-05,6.50E-05,5.69E-05,0.000103969,9.21E-05,4.08E-05,3.87E-05,4.31E-05,5.38E-05,4.51E-05,6.67E-05,3.31E-05,6.31E-05,5.73E-05,3.26E-05,4.48E-05,4.54E-05,1.54E-05,0.000113089,7.11E-05,7.10E-05,7.24E-05,2.01E-05,6.45E-05,3.42E-05,3.65E-05
Cer.52:1;O3|Cer.22:1;O2/30:0;O__Pp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.68E-06,0,0,0,0,0,0,0,0
Cer.52:1;O3|Cer.22:1;O2/30:0;O_1__Pp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.90E-05,0,0,0,0,0,0,0
Cer.52:2;O2|Cer.22:1;O2/30:1__Pp,1.50E-05,1.43E-05,2.24E-05,2.02E-05,0.000114301,8.57E-05,3.84E-05,3.97E-05,5.51E-05,4.86E-05,3.40E-05,6.70E-05,3.09E-05,5.76E-05,1.45E-05,4.60E-05,3.65E-05,3.96E-05,0,5.99E-05,6.54E-05,5.24E-05,0,1.79E-05,3.41E-05,0,4.27E-05
Cer.53:2;O2|Cer.21:1;O2/32:1__Pp,1.95E-05,1.86E-05,1.29E-05,1.06E-05,3.28E-05,3.12E-05,0,9.76E-06,0,1.56E-05,0,0,0,1.71E-05,2.37E-05,1.18E-05,0,0,1.00E-05,2.38E-05,2.83E-05,1.94E-05,0,0,1.85E-05,0,1.01E-05
Cer.54:1;O3|Cer.20:1;O2/34:0;O__Pp,0.000265001,0.000252566,0.00030435,0.000308052,0.000408189,0.000316605,0.000406962,0.000345501,0.000266554,0.000410773,0.000249035,0.00016573,0.000208024,0.000334472,0.000329799,0.000399606,0.000458272,0.000452986,0.000206034,0.000436254,0.000313083,0.000306275,0.000455352,0.000273318,0.000422419,0.000306234,0.000500619
Cer.56:2;O3|Cer.22:1;O2/34:1;O__Pp,0.002649291,0.002524967,0.002722698,0.002657555,0.003558706,0.003026436,0.003658891,0.003104971,0.002527639,0.003658264,0.002557414,0.001497486,0.002102346,0.003019996,0.003146614,0.003537633,0.003968597,0.004263117,0.001964081,0.003648004,0.003064642,0.00285471,0.004025981,0.002529675,0.003720818,0.003670231,0.001893183
Cer.67:4;O4|Cer.20:2;O2/47:2;O2__Pp,2.68E-05,2.56E-05,4.73E-05,3.59E-05,0.000104276,6.29E-05,4.10E-05,5.92E-05,1.96E-05,5.34E-05,3.48E-05,0.000102918,2.37E-05,6.31E-05,5.29E-05,4.00E-05,4.63E-05,5.11E-05,1.39E-05,8.15E-05,9.07E-05,5.43E-05,4.28E-05,3.33E-05,8.37E-05,4.33E-05,3.72E-05
Cer.70:5;O4|Cer.20:2;O2/50:3;O2__Pp,4.23E-05,4.03E-05,0.000111657,7.28E-05,0.000180301,0.00016374,7.03E-05,8.38E-05,8.95E-05,0.000125241,8.58E-05,0.000135769,8.86E-05,9.07E-05,7.29E-05,0.000103633,0.000100258,7.95E-05,2.72E-05,0.000198642,0.000152752,0.00014214,9.00E-05,6.62E-05,0.000143663,5.46E-05,5.32E-05
Cer.71:4;O4|Cer.22:2;O2/49:2;O2__Pp,6.71E-05,6.39E-05,7.57E-05,8.27E-05,0.000137672,0.000106743,5.93E-05,8.34E-05,6.44E-05,8.66E-05,8.25E-05,0.000158772,3.73E-05,9.83E-05,9.42E-05,6.37E-05,7.75E-05,7.94E-05,3.47E-05,0.000181159,9.86E-05,0.00011944,0.000125646,5.58E-05,0.000121848,5.25E-05,5.37E-05
Cer.72:4;O4|Cer.22:2;O2/50:2;O2__Pp,6.71E-05,6.40E-05,6.98E-05,6.63E-05,0.000135333,0.000120347,5.65E-05,6.61E-05,3.83E-05,1.63E-05,5.56E-05,0.00011922,5.09E-05,7.36E-05,6.64E-05,5.10E-05,7.15E-05,7.80E-05,2.64E-05,0.000147832,9.63E-05,9.08E-05,9.13E-05,3.92E-05,8.29E-05,4.06E-05,5.04E-05
Cer.72:5;O4|Cer.20:2;O2/52:3;O2__Pp,7.07E-05,6.74E-05,0.00015075,0.00011905,0.000227469,0.000186238,8.87E-05,0.000108512,9.85E-05,0.00011151,9.98E-05,0.000226165,8.84E-05,0.00013662,0.000105162,9.58E-05,0.000101848,0.00010201,4.33E-05,0.000249032,0.000164202,0.000172803,0.000119999,7.56E-05,0.000161115,5.82E-05,9.05E-05
