Pig,DNA extraction Batch,Sample,DNAconc (ng/µl) ,PmaxxGroup,Group,TimeGroup,WaterCHG,Timepoint,Time,PMAxx
P3,,3-CBp-2,2.82,CHGp,CHG-B-PMAxx,C-B,CHG,Baseline,-12,PMAxx
P3,,3-F06p-1,2.06,Fullp,Full-06-PMAxx,F-06,Full,6 hr,6,PMAxx
P3,,3-F06p-2,2.36,Fullp,Full-06-PMAxx,F-06,Full,6 hr,6,PMAxx
P3,,3-F06p-3,1.77,Fullp,Full-06-PMAxx,F-06,Full,6 hr,6,PMAxx
P3,,3-F0p-1,2.35,Fullp,Full-0-PMAxx,F-0,Full,0 hr,0,PMAxx
P3,,3-F0p-2,0.65,Fullp,Full-0-PMAxx,F-0,Full,0 hr,0,PMAxx
P3,,3-F0p-3,0.87,Fullp,Full-0-PMAxx,F-0,Full,0 hr,0,PMAxx
P3,,3-F12p-1,1.77,Fullp,Full-12-PMAxx,F-12,Full,12 hr,12,PMAxx
P3,,3-F12p-2,2.89,Fullp,Full-12-PMAxx,F-12,Full,12 hr,12,PMAxx
P3,,3-F12p-3,3.32,Fullp,Full-12-PMAxx,F-12,Full,12 hr,12,PMAxx
P3,,3-F24p-1,2.52,Fullp,Full-24-PMAxx,F-24,Full,24 hr,24,PMAxx
P3,,3-F24p-2,4.06,Fullp,Full-24-PMAxx,F-24,Full,24 hr,24,PMAxx
P3,,3-F24p-3,3.81,Fullp,Full-24-PMAxx,F-24,Full,24 hr,24,PMAxx
P3,,3-F48p-1,0.784,Fullp,Full-48-PMAxx,F-48,Full,48 hr,48,PMAxx
P3,,3-F48p-2,4.04,Fullp,Full-48-PMAxx,F-48,Full,48 hr,48,PMAxx
P3,,3-F48p-3,4.09,Fullp,Full-48-PMAxx,F-48,Full,48 hr,48,PMAxx
P3,,3-FBp-1,3.12,Fullp,Full-B-PMAxx,F-B,Full,Baseline,-12,PMAxx
P3,,3-FBp-2,2.53,Fullp,Full-B-PMAxx,F-B,Full,Baseline,-12,PMAxx
P3,,3-W06p-1,3.18,Waterp,Water-06-PMAxx,W-06,Water,6 hr,6,PMAxx
P3,,3-W06p-2,3.16,Waterp,Water-06-PMAxx,W-06,Water,6 hr,6,PMAxx
P3,,3-W06p-3,3.33,Waterp,Water-06-PMAxx,W-06,Water,6 hr,6,PMAxx
P3,,3-W0p-1,2.72,Waterp,Water-0-PMAxx,W-0,Water,0 hr,0,PMAxx
P3,,3-W0p-2,2.69,Waterp,Water-0-PMAxx,W-0,Water,0 hr,0,PMAxx
