uWellPosition,uSample,Plate,Replicate,Pig,PMAxxConcentration,LHKC,LHKCorder,uCT,uCTMean,uCtSD,uQuantity,uQuantityMean,uQuantitySD,pWellPosition,pSample,pCT,pCTMean,pCtSD,pQuantity,pQuantityMean,pQuantitySD,DeltaCT,TotalBacteria,MeanTotalBacteria,ViableBacteria,MeanBiableBacteria,PercentLive,MeanPercentLive,DeltaBacteria
L9,P3-L-50,1,1,P3,50,Live,0,21.39,21.195,0.276,42.134,50.383,15.597,L15,P3-L-50p,24.078,24.142,0.056,3.593,3.387,0.214,2.947,252805.9843,302296.2734,21558.4392,20322.23648,8.527661738,6.722622231,231247.5451
L10,P3-L-50,1,2,P3,50,Live,0,21,21.195,0.276,60.246,50.383,15.597,L16,P3-L-50p,24.172,24.142,0.056,3.297,3.387,0.214,2.947,361474.9751,302296.2734,19780.96143,20322.23648,5.472290696,6.722622231,341694.0137
,P3-L-50,1,3,P3,50,Live,0,,,,,,,L17,P3-L-50p,24.177,24.142,0.056,3.28,3.387,0.214,,,,19681.15354,20322.23648,,,-19681.15354
L11,P3-L-25,1,1,P3,25,Live,0,23.42,23.208,0.21,6.561,7.969,1.874,L18,P3-L-25p,24.92,25.039,0.136,1.661,1.489,0.222,1.831,39364.73579,47815.75051,9963.342463,8933.043678,25.31032474,18.68221994,29401.39333
L12,P3-L-25,1,2,P3,25,Live,0,23.001,23.208,0.21,9.636,7.969,1.874,L19,P3-L-25p,25.011,25.039,0.136,1.528,1.489,0.222,1.831,57818.81849,47815.75051,9170.092911,8933.043678,15.86004894,18.68221994,48648.72558
L13,P3-L-25,1,3,P3,25,Live,0,23.203,23.208,0.21,8.005,7.969,1.874,L20,P3-L-25p,25.187,25.039,0.136,1.3,1.489,0.222,1.831,48032.54718,47815.75051,7802.231271,8933.043678,16.24363422,18.68221994,40230.31591
M8,P3-H-50,1,1,P3,50,Heated,1,21.63,21.917,0.405,33.827,26.015,11.9,M15,P3-H-50p,25.356,25.236,0.109,1.114,1.243,0.149,3.32,202961.9402,156090.2847,6681.790654,7458.849007,3.292139723,4.778547891,196280.1495
M10,P3-H-50,1,2,P3,50,Heated,1,22.203,21.917,0.405,20.007,26.015,11.9,M16,P3-H-50p,25.142,25.236,0.109,1.355,1.243,0.149,3.32,120043.0828,156090.2847,8129.668693,7458.849007,6.772292502,4.778547891,111913.4141
,P3-H-50,1,3,P3,50,Heated,1,,,,,,,M17,P3-H-50p,25.21,25.236,0.109,1.273,1.243,0.149,,,,7639.232622,7458.849007,,,
M11,P3-H-25,1,1,P3,25,Heated,1,21.337,21.672,0.367,44.226,32.546,13.1,M18,P3-H-25p,24.059,24.059,0.019,3.655,3.654,0.075,2.387,265355.2928,195276.6313,21929.31814,21926.52117,8.264134441,11.22844092,243425.9746
M12,P3-H-25,1,2,P3,25,Heated,1,21.615,21.672,0.367,34.29,32.546,13.1,M19,P3-H-25p,24.078,24.059,0.019,3.593,3.654,0.075,2.387,205737.6814,195276.6313,21556.55583,21926.52117,10.47768969,11.22844092,184181.1256
M13,P3-H-25,1,3,P3,25,Heated,1,22.064,21.672,0.367,22.733,32.546,13.1,M20,P3-H-25p,24.041,24.059,0.019,3.717,3.654,0.075,2.387,136398.3849,195276.6313,22299.99146,21926.52117,16.34916093,11.22844092,114098.3935
N8,P3-K-50,1,1,P3,50,HeatKilled,2,22.344,22.362,0.022,17.589,17.305,0.43,N15,P3-K-50p,25.061,25.114,0.046,1.46,1.39,0.073,2.753,105536.7402,103828.3839,8757.966881,8340.472163,8.298500467,8.032940369,96778.77335
N9,P3-K-50,1,2,P3,50,HeatKilled,2,22.354,22.362,0.022,17.421,17.305,0.43,N16,P3-K-50p,25.143,25.114,0.046,1.354,1.39,0.073,2.753,104526.2797,103828.3839,8123.662219,8340.472163,7.771884967,8.032940369,96402.61748
N10,P3-K-50,1,3,P3,50,HeatKilled,2,22.387,22.362,0.022,16.911,17.305,0.43,N17,P3-K-50p,25.139,25.114,0.046,1.359,1.39,0.073,2.753,101465.4894,103828.3839,8154.878874,8340.472163,8.037096081,8.032940369,93310.61055
N11,P3-K-25,1,1,P3,25,HeatKilled,2,22.167,22.323,0.226,20.684,17.928,4.294,N18,P3-K-25p,25.117,25.134,0.036,1.387,1.365,0.055,2.811,124102.8319,107570.8946,8322.042773,8190.421869,6.705763796,7.613975788,115780.7891
N12,P3-K-25,1,2,P3,25,HeatKilled,2,22.22,22.323,0.226,19.699,17.928,4.294,N19,P3-K-25p,25.11,25.134,0.036,1.396,1.365,0.055,2.811,118192.3912,107570.8946,8374.994664,8190.421869,7.085900012,7.613975788,109817.3966
N13,P3-K-25,1,3,P3,25,HeatKilled,2,22.582,22.323,0.226,14.144,17.928,4.294,N20,P3-K-25p,25.176,25.134,0.036,1.314,1.365,0.055,2.811,84861.82576,107570.8946,7883.191129,8190.421869,9.289443231,7.613975788,76978.63463
O8,P3-C-50,1,1,P3,50,CHG,3,22.922,23.077,0.134,10.356,8.987,1.398,O15,P3-C-50p,25.539,25.577,0.042,0.942,0.91,0.105,2.5,62133.07787,53919.88201,5650.683375,5458.666114,9.094484885,10.12366109,56482.39449
O9,P3-C-50,1,2,P3,50,CHG,3,23.144,23.077,0.134,8.45,8.987,1.398,O16,P3-C-50p,25.57,25.577,0.042,0.916,0.91,0.105,2.5,50697.18285,53919.88201,5493.178012,5458.666114,10.8352727,10.12366109,45204.00484
O10,P3-C-50,1,3,P3,50,CHG,3,23.165,23.077,0.134,8.294,8.987,1.398,O17,P3-C-50p,25.622,25.577,0.042,0.873,0.91,0.105,2.5,49766.75754,53919.88201,5240.062469,5458.666114,10.52924226,10.12366109,44526.69507
O11,P3-C-25,1,1,P3,25,CHG,3,22.541,22.39,0.171,14.679,16.87,3.299,O18,P3-C-25p,25.702,25.714,0.019,0.812,0.803,0.043,3.324,88073.98006,101217.0556,4869.79459,4817.205798,5.529209179,4.759282681,83204.18547
O12,P3-C-25,1,2,P3,25,CHG,3,22.423,22.39,0.171,16.367,16.87,3.299,O19,P3-C-25p,25.736,25.714,0.019,0.787,0.803,0.043,3.324,98202.36426,101217.0556,4719.024703,4817.205798,4.805408443,4.759282681,93483.33956
O13,P3-C-25,1,3,P3,25,CHG,3,22.205,22.39,0.171,19.982,16.87,3.299,O20,P3-C-25p,25.703,25.714,0.019,0.811,0.803,0.043,3.324,119892.3665,101217.0556,4864.309389,4817.205798,4.057230274,4.759282681,115028.0571
C8,P2-L-50,2,1,P2,50,Live,0,17.762,17.839,0.109,"1,170.52","1,090.38",109.46,C15,P2-L-50p,20.489,20.518,0.058,96.222,93.689,4.936,2.679,7023143.153,6542283.756,577333.2479,562133.9491,8.220439699,8.5923199,6445809.905
C9,P2-L-50,2,2,P2,50,Live,0,17.916,17.839,0.109,"1,015.73","1,090.38",109.46,C16,P2-L-50p,20.585,20.518,0.058,88.096,93.689,4.936,2.679,6094347.76,6542283.756,528574.0293,562133.9491,8.673184565,8.5923199,5565773.731
,P2-L-50,2,3,P2,50,Live,0,,,,,,,C17,P2-L-50p,20.48,20.518,0.058,97.014,93.689,4.936,,,,582083.8318,562133.9491,,,
C11,P2-L-10,2,1,P2,10,Live,0,18.024,17.839,0.221,920.631,"1,090.34",230.527,C18,P2-L-10p,19.113,19.019,0.124,339.351,369.768,43.103,1.18,5523788.916,6542055.134,2036105.821,2218608.749,36.86067394,33.91302433,3487683.095
C12,P2-L-10,2,2,P2,10,Live,0,17.595,17.839,0.221,"1,363.88","1,090.34",230.527,C19,P2-L-10p,18.879,19.019,0.124,420.384,369.768,43.103,1.18,8183260.505,6542055.134,2522306.828,2218608.749,30.822761,33.91302433,5660953.677
C13,P2-L-10,2,3,P2,10,Live,0,17.899,17.839,0.221,"1,032.35","1,090.34",230.527,C20,P2-L-10p,19.066,19.019,0.124,354.399,369.768,43.103,1.18,6194102.529,6542055.134,2126391.092,2218608.749,34.3292847,33.91302433,4067711.438
D8,P2-H-50,2,1,P2,50,Heated,1,17.848,18.324,0.474,"1,081.18",699.463,316.412,D15,P2-H-50p,19.743,20.891,1.088,190.603,66.555,87.007,2.568,6487098.795,4196778.458,1143619.767,399332.3472,17.6291406,9.515211516,5343479.028
D9,P2-H-50,2,2,P2,50,Heated,1,18.326,18.324,0.474,698.041,699.463,316.412,D16,P2-H-50p,21.026,20.891,1.088,58.846,66.555,87.007,2.568,4188244.178,4196778.458,353075.2395,399332.3472,8.430149354,9.515211516,3835168.939
D10,P2-H-50,2,3,P2,50,Heated,1,18.797,18.324,0.474,453.434,699.463,316.412,D17,P2-H-50p,21.905,20.891,1.088,26.285,66.555,87.007,2.568,2720605.844,4196778.458,157707.4756,399332.3472,5.796777798,9.515211516,2562898.369
D11,P2-H-10,2,1,P2,10,Heated,1,16.645,16.797,0.285,"3,253.91","2,831.33",691.481,D18,P2-H-10p,18.86,19.032,0.182,427.802,365.515,60.577,2.235,19523475.27,16987958.24,2566811.173,2193089.878,13.1473067,12.90967311,16956664.1
D12,P2-H-10,2,2,P2,10,Heated,1,16.621,16.797,0.285,"3,328.81","2,831.33",691.481,D19,P2-H-10p,19.013,19.032,0.182,372.094,365.515,60.577,2.235,19972861.08,16987958.24,2232565.474,2193089.878,11.17799531,12.90967311,17740295.6
D13,P2-H-10,2,3,P2,10,Heated,1,17.126,16.797,0.285,"2,095.44","2,831.33",691.481,D20,P2-H-10p,19.223,19.032,0.182,306.775,365.515,60.577,2.235,12572630.33,16987958.24,1840649.791,2193089.878,14.64013291,12.90967311,10731980.54
E8,P2-K-50,2,1,P2,50,HeatKilled,2,15.503,15.792,0.409,"9,265.77","7,108.74","2,695.43",E15,P2-K-50p,19.235,19.239,0.006,303.579,302.374,1.7,3.447,55594616.91,42652429.33,1821472.709,1814246.541,3.276347261,4.25355969,53773144.2
E10,P2-K-50,2,2,P2,50,HeatKilled,2,16.082,15.792,0.409,"5,453.86","7,108.74","2,695.43",E16,P2-K-50p,19.243,19.239,0.006,301.175,302.374,1.7,3.447,32723127.32,42652429.33,1807049.04,1814246.541,5.522238209,4.25355969,30916078.28
E11,P2-K-10,2,1,P2,10,HeatKilled,2,16.265,16.52,0.294,"4,610.98","3,650.36",954.701,E18,P2-K-10p,21.34,21.221,0.205,44.11,49.2,24.486,4.701,27665882.7,21902182.53,264659.334,295200.507,0.95662711,1.347813199,27401223.37
