CompoundName,CleanName,CompoundID,LipidABV,Formula,Mass,RT,LargerLipidGroup.ABV,LargerLipidGroup,LIPIDClass_CommonName,LipidClass_LIPID_MAPS,LIPID_MAPS
Cer 46:1;O3|Cer 20:1;O2/26:0;O,Cer 46:1;O3|Cer 20:1;O2/26:0;O,Cer.46:1;O3|Cer.20:1;O2/26:0;O__Pp,Cer,C46 H91 N O4,721.6948,11.96,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 47:1;O2|Cer 17:1;O2/30:0,Cer 47:1;O2|Cer 17:1;O2/30:0,Cer.47:1;O2|Cer.17:1;O2/30:0__Pp,Cer,C47 H93 N O3,719.7154,13.28,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 48:0;O2|Cer 22:0;O2/26:0,Cer 48:0;O2|Cer 22:0;O2/26:0,Cer.48:0;O2|Cer.22:0;O2/26:0__Pp,Cer,C48 H97 N O3,735.7467,13.74,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 48:0;O3|Cer 22:0;O2/26:0;O,Cer 48:0;O3|Cer 22:0;O2/26:0;O,Cer.48:0;O3|Cer.22:0;O2/26:0;O__Pp,Cer,C48 H97 N O4,751.7419,13.23,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 48:1;O2|Cer 20:1;O2/28:0,Cer 48:1;O2|Cer 20:1;O2/28:0,Cer.48:1;O2|Cer.20:1;O2/28:0__Pp,Cer,C48 H95 N O3,733.7313,13.57,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 48:1;O3|Cer 22:1;O2/26:0;O,Cer 48:1;O3|Cer 22:1;O2/26:0;O,Cer.48:1;O3|Cer.22:1;O2/26:0;O__Pp,Cer,C48 H95 N O4,749.726,12.61,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 49:0;O3|Cer 25:0;O2/24:0;O,Cer 49:0;O3|Cer 25:0;O2/24:0;O,Cer.49:0;O3|Cer.25:0;O2/24:0;O__Pp,Cer,C49 H99 N O4,765.7575,13.51,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 49:1;O2|Cer 22:1;O2/27:0,Cer 49:1;O2|Cer 22:1;O2/27:0,Cer.49:1;O2|Cer.22:1;O2/27:0__Pp,Cer,C49 H97 N O3,747.7465,13.83,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 50:1;O2|Cer 22:1;O2/28:0,Cer 50:1;O2|Cer 22:1;O2/28:0,Cer.50:1;O2|Cer.22:1;O2/28:0__Pp,Cer,C50 H99 N O3,761.7623,14.09,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 50:1;O3|Cer 22:1;O2/28:0;O,Cer 50:1;O3|Cer 22:1;O2/28:0;O,Cer.50:1;O3|Cer.22:1;O2/28:0;O__Pp,Cer,C50 H99 N O4,777.7571,13.19,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 50:2;O2|Cer 22:1;O2/28:1,Cer 50:2;O2|Cer 22:1;O2/28:1,Cer.50:2;O2|Cer.22:1;O2/28:1__Pp,Cer,C50 H97 N O3,759.7458,13.47,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 51:1;O2|Cer 21:1;O2/30:0,Cer 51:1;O2|Cer 21:1;O2/30:0,Cer.51:1;O2|Cer.21:1;O2/30:0__Pp,Cer,C51 H101 N O3,775.7781,14.24,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 51:1;O3|Cer 22:1;O2/29:0;O,Cer 51:1;O3|Cer 22:1;O2/29:0;O,Cer.51:1;O3|Cer.22:1;O2/29:0;O__Pp,Cer,C51 H101 N O4,791.7716,13.45,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 51:2;O2|Cer 21:1;O2/30:1,Cer 51:2;O2|Cer 21:1;O2/30:1,Cer.51:2;O2|Cer.21:1;O2/30:1__Pp,Cer,C51 H99 N O3,773.7623,13.74,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 51:8;O2|Cer 29:2;O2/22:6,Cer 51:8;O2|Cer 29:2;O2/22:6,Cer.51:8;O2|Cer.29:2;O2/22:6__Pp,Cer,C51 H87 N O3,761.6712,10.7,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 52:1;O2|Cer 22:1;O2/30:0,Cer 52:1;O2|Cer 22:1;O2/30:0,Cer.52:1;O2|Cer.22:1;O2/30:0__Pp,Cer,C52 H103 N O3,789.7939,14.35,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 52:1;O3|Cer 22:1;O2/30:0;O,Cer 52:1;O3|Cer 22:1;O2/30:0;O,Cer.52:1;O3|Cer.22:1;O2/30:0;O__Pp,Cer,C52 H103 N O4,805.7865,13.85,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 52:1;O3|Cer 22:1;O2/30:0;O,Cer 52:1;O3|Cer 22:1;O2/30:0;O,Cer.52:1;O3|Cer.22:1;O2/30:0;O__Pp,Cer,C52 H103 N O4,805.7839,13.84,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 52:1;O3|Cer 22:1;O2/30:0;O_1,Cer 52:1;O3|Cer 22:1;O2/30:0;O,Cer.52:1;O3|Cer.22:1;O2/30:0;O_1__Pp,Cer,C52 H103 N O4,805.7839,13.84,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 52:2;O2|Cer 22:1;O2/30:1,Cer 52:2;O2|Cer 22:1;O2/30:1,Cer.52:2;O2|Cer.22:1;O2/30:1__Pp,Cer,C52 H101 N O3,787.7778,14,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 53:2;O2|Cer 21:1;O2/32:1,Cer 53:2;O2|Cer 21:1;O2/32:1,Cer.53:2;O2|Cer.21:1;O2/32:1__Pp,Cer,C53 H103 N O3,801.7954,14.19,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 54:1;O3|Cer 20:1;O2/34:0;O,Cer 54:1;O3|Cer 20:1;O2/34:0;O,Cer.54:1;O3|Cer.20:1;O2/34:0;O__Pp,Cer,C54 H107 N O4,833.8191,14.27,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 56:2;O3|Cer 22:1;O2/34:1;O,Cer 56:2;O3|Cer 22:1;O2/34:1;O,Cer.56:2;O3|Cer.22:1;O2/34:1;O__Pp,Cer,C56 H109 N O4,859.8344,14.26,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 67:4;O4|Cer 20:2;O2/47:2;O2,Cer 67:4;O4|Cer 20:2;O2/47:2;O2,Cer.67:4;O4|Cer.20:2;O2/47:2;O2__Pp,Cer,C67 H127 N O5,1025.9708,14.4,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 70:5;O4|Cer 20:2;O2/50:3;O2,Cer 70:5;O4|Cer 20:2;O2/50:3;O2,Cer.70:5;O4|Cer.20:2;O2/50:3;O2__Pp,Cer,C70 H131 N O5,1066.0024,14.46,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 71:4;O4|Cer 22:2;O2/49:2;O2,Cer 71:4;O4|Cer 22:2;O2/49:2;O2,Cer.71:4;O4|Cer.22:2;O2/49:2;O2__Pp,Cer,C71 H135 N O5,1082.0332,14.59,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 72:4;O4|Cer 22:2;O2/50:2;O2,Cer 72:4;O4|Cer 22:2;O2/50:2;O2,Cer.72:4;O4|Cer.22:2;O2/50:2;O2__Pp,Cer,C72 H137 N O5,1096.049,14.61,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 72:5;O4|Cer 20:2;O2/52:3;O2,Cer 72:5;O4|Cer 20:2;O2/52:3;O2,Cer.72:5;O4|Cer.20:2;O2/52:3;O2__Pp,Cer,C72 H135 N O5,1094.0337,14.54,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 72:6;O4|Cer 22:2;O2/50:4;O2,Cer 72:6;O4|Cer 22:2;O2/50:4;O2,Cer.72:6;O4|Cer.22:2;O2/50:4;O2__Pp,Cer,C72 H133 N O5,1092.0179,14.48,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer 73:5;O4|Cer 21:2;O2/52:3;O2,Cer 73:5;O4|Cer 21:2;O2/52:3;O2,Cer.73:5;O4|Cer.21:2;O2/52:3;O2__Pp,Cer,C73 H137 N O5,1108.0497,14.58,Sphingolipids ,SP,Ceramides,Ceramides ,SP02
Cer_ADS d16:0_13:0,Cer ADS d16:0 13:0,Cer_ADS.d16:0_13:0__Np,Cer_ADS,C29 H59 N O4,485.4444,5.87,Sphingolipids ,SP,Ceramides,Ceramide α-hydroxy fatty acid-dihydrosphingosine,
Cer_ADS d16:0_14:0,Cer ADS d16:0 14:0,Cer_ADS.d16:0_14:0__Np,Cer_ADS,C30 H61 N O4,499.46,6.33,Sphingolipids ,SP,Ceramides,Ceramide α-hydroxy fatty acid-dihydrosphingosine,
Cer_ADS d16:0_14:0,Cer ADS d16:0 14:0,Cer_ADS.d16:0_14:0__Np,Cer_ADS,C30 H61 N O4,499.46,6.34,Sphingolipids ,SP,Ceramides,Ceramide α-hydroxy fatty acid-dihydrosphingosine,
