Sample,Replicate,Pig ,Treatment,Time,Timepoint,TxTime,CFUmedia,Count ,Dilution ,CFU ,LogCFU,Notes
P1_F0.1,F0.1,P1,Full,PostBath,0,Full PostBath,TSA,0,1.00E+00,0.00E+00,0,
P1_F0.2,F0.2,P1,Full,PostBath,0,Full PostBath,TSA,0,1.00E+00,0.00E+00,0,
P1_F0.3,F0.3,P1,Full,PostBath,0,Full PostBath,TSA,0,1.00E+00,0.00E+00,0,
P1_W06.1,W06.1,P1,Water,6 hr,6,Water 6 hr,TSA,111,1.00E-05,8.60E+07,7.934624686,
P1_W06.2,W06.2,P1,Water,6 hr,6,Water 6 hr,TSA,12,1.00E-06,9.30E+07,7.968482953,
P1_W06.3,W06.3,P1,Water,6 hr,6,Water 6 hr,TSA,42,1.00E-05,3.26E+07,7.512551006,
P1_C06.1,C06.1,P1,Chloraprep,6 hr,6,Chloraprep 6 hr,TSA,0,1.00E+00,0.00E+00,0,
P1_C06.2,C06.2,P1,Chloraprep,6 hr,6,Chloraprep 6 hr,TSA,3,1.00E+00,2.33E+01,1.384711743,
P1_C06.3,C06.3,P1,Chloraprep,6 hr,6,Chloraprep 6 hr,TSA,8,1.00E-01,6.20E+02,2.7930916,
P1_F06.1,F06.1,P1,Full,6 hr,6,Full 6 hr,TSA,0,1.00E+00,0.00E+00,0,
P1_F06.2,F06.2,P1,Full,6 hr,6,Full 6 hr,TSA,1,1.00E+00,7.75E+00,0.942008053,
P1_F06.3,F06.3,P1,Full,6 hr,6,Full 6 hr,TSA,4,1.00E+00,3.10E+01,1.505149978,
P1_W12.1,W12.1,P1,Water,12 hr,12,Water 12 hr,TSA,18,1.00E-05,1.40E+07,7.144574239,
P1_W12.2,W12.2,P1,Water,12 hr,12,Water 12 hr,TSA,29,1.00E-05,2.25E+07,7.35169972,
P1_W12.3,W12.3,P1,Water,12 hr,12,Water 12 hr,TSA,45,1.00E-05,3.49E+07,7.542514229,
P1_C12.1,C12.1,P1,Chloraprep,12 hr,12,Chloraprep 12 hr,TSA,0,1.00E+00,0.00E+00,0,
