CompoundName,Formula,Mass,RT,LipidClass,LipidABV
SM d38:1,C43 H87 N2 O6 P,758.6299,9.27,,SM
SM d39:1,C44 H89 N2 O6 P,772.6456,9.73,,SM
SM d40:1,C45 H91 N2 O6 P,786.662,10.15,,SM
SM d40:1,C45 H91 N2 O6 P,786.6612,10.17,,SM
SM d40:1,C45 H91 N2 O6 P,786.6613,10.15,,SM
SM d40:2,C45 H89 N2 O6 P,784.6459,9.34,,SM
SM d41:1,C46 H93 N2 O6 P,800.677,10.59,,SM
SM d41:2,C46 H91 N2 O6 P,798.6612,9.65,,SM
SM d42:1,C47 H95 N2 O6 P,814.6933,10.94,,SM
SM d42:1,C47 H95 N2 O6 P,814.6925,10.98,,SM
SM d42:1,C47 H95 N2 O6 P,814.6928,10.96,,SM
SM d42:2,C47 H93 N2 O6 P,812.677,10.05,,SM
SM d42:2,C47 H93 N2 O6 P,812.6769,10.06,,SM
SM d42:3,C47 H91 N2 O6 P,810.661,9.29,,SM
SM d42:3,C47 H91 N2 O6 P,810.6612,9.26,,SM
SM d43:2,C48 H95 N2 O6 P,826.6927,10.53,,SM
SM d46:1,C51 H103 N2 O6 P,870.7555,12.43,,SM
SPB 22:0;O2,C22 H47 N O2,357.3606,4.13,,SPB
ST 27:1;O,C27 H46 O,386.3548,13.69,,ST
ST 27:1;O,C27 H46 O,386.3547,13.01,,ST
ST 27:1;O,C27 H46 O,386.3541,10.1,,ST
ST 27:1;O,C27 H46 O,386.3545,6.8,,ST
ST 27:2;O,C27 H44 O,384.3409,11.29,,ST
ST 27:2;O,C27 H44 O,384.3423,4.43,,ST
TG 12:0_12:0_18:0,C45 H86 O6,722.6424,12.82,,TG
TG 12:0_12:1_16:0,C43 H80 O6,692.5951,11.37,,TG
TG 12:0_16:0_18:1,C49 H92 O6,776.6895,13.39,,TG
TG 12:1_16:1_18:1,C49 H88 O6,772.6581,12.24,,TG
TG 13:1_16:0_16:0,C48 H90 O6,762.6736,13.1,,TG
TG 13:1_16:0_16:1,C48 H88 O6,760.6581,12.48,,TG
TG 13:1_16:1_16:1,C48 H86 O6,758.6434,11.82,,TG
TG 14:0_14:0_16:0,C47 H90 O6,750.6741,13.41,,TG
TG 14:0_16:0_16:0,C49 H94 O6,778.7051,13.97,,TG
TG 14:0_16:0_18:1,C51 H96 O6,804.7212,13.93,,TG
TG 14:0_16:1_18:1,C51 H94 O6,802.7053,13.39,,TG
TG 14:0_17:1_18:2,C52 H94 O6,814.7051,13.13,,TG
TG 14:0_18:1_18:2,C53 H96 O6,828.721,13.41,,TG
TG 14:0_18:2_18:2,C53 H94 O6,826.7049,12.9,,TG
TG 14:0_18:2_18:3,C53 H92 O6,824.6896,12.41,,TG
TG 15:0_16:0_16:0,C50 H96 O6,792.7208,14.15,,TG
TG 15:0_16:0_16:1,C50 H94 O6,790.705,13.6,,TG
TG 15:0_16:0_18:1,C52 H98 O6,818.7363,14.15,,TG
TG 15:0_16:1_16:1,C50 H92 O6,788.6897,13.02,,TG
TG 15:0_18:1(d7)_15:0,C51 H89 D7 O6,811.7649,13.89,,TG
TG 16:0_16:0_18:0,C53 H102 O6,834.7681,14.48,,TG
TG 16:0_16:0_18:1,C53 H100 O6,832.7533,14.3,,TG
TG 16:0_16:0_18:1,C53 H100 O6,832.7535,13.46,,TG
TG 16:0_16:1_18:1,C53 H98 O6,830.7374,13.92,,TG
TG 16:0_16:1_18:1,C53 H98 O6,830.7362,14.55,,TG
TG 16:0_17:0_18:0,C54 H104 O6,848.7833,14.53,,TG
TG 16:0_17:1_18:1,C54 H100 O6,844.7521,14.14,,TG
TG 16:0_18:0_18:1,C55 H104 O6,860.7848,14.47,,TG
TG 16:0_18:1_18:1,C55 H102 O6,858.769,14.28,,TG
TG 16:0_18:1_18:2,C55 H100 O6,856.7532,16.21,,TG
TG 16:0_18:1_20:4,C57 H100 O6,880.7516,13.78,,TG
TG 16:0_18:2_20:4,C57 H98 O6,878.7361,13.27,,TG
TG 16:0_22:0_22:1,C63 H120 O6,972.908,14.79,,TG
TG 16:1_16:1_16:1,C51 H92 O6,800.6891,12.81,,TG
TG 16:1_18:1_18:1,C55 H100 O6,856.7531,13.95,,TG
TG 16:1_18:1_18:2,C55 H98 O6,854.7367,13.45,,TG
TG 16:1_18:2_18:2,C55 H96 O6,852.7206,12.92,,TG
TG 16:1_18:2_18:3,C55 H94 O6,850.705,12.44,,TG
TG 16:1_22:0_22:1,C63 H118 O6,970.8917,14.71,,TG
TG 17:0_18:0_18:1,C56 H106 O6,874.7992,14.52,,TG
TG 17:0_18:1_18:1,C56 H104 O6,872.7835,14.38,,TG
TG 17:0_18:1_20:1,C58 H108 O6,900.8138,14.51,,TG
TG 17:1_18:1_18:1,C56 H102 O6,870.7674,14.13,,TG
TG 17:1_18:1_18:2,C56 H100 O6,868.7517,13.69,,TG
TG 17:1_18:2_18:2,C56 H98 O6,866.7362,13.2,,TG
TG 18:0_18:0_18:1,C57 H108 O6,888.8148,14.58,,TG
TG 18:0_18:1_18:1,C57 H106 O6,886.8,14.45,,TG
TG 18:0_18:1_20:0,C59 H112 O6,916.8449,14.66,,TG
TG 18:0_18:1_20:1,C59 H110 O6,914.8301,14.57,,TG
TG 18:1_18:1_18:1,C57 H104 O6,884.7843,14.26,,TG
TG 18:1_18:1_18:1,C57 H104 O6,884.7813,14.59,,TG
TG 18:1_18:1_18:2,C57 H102 O6,882.7683,13.94,,TG
TG 18:1_18:1_18:2,C57 H102 O6,882.7659,14.49,,TG
TG 18:1_18:1_19:1,C58 H106 O6,898.7991,14.37,,TG
TG 18:1_18:1_20:1,C59 H108 O6,912.8148,14.44,,TG
TG 18:1_18:1_20:2,C59 H106 O6,910.7992,14.26,,TG
TG 18:1_18:1_20:4,C59 H102 O6,906.7672,13.75,,TG
TG 18:1_18:1_22:4,C61 H106 O6,934.7996,14.11,,TG
TG 18:1_18:2_18:2,C57 H100 O6,880.7519,13.47,,TG
TG 18:1_18:2_19:1,C58 H104 O6,896.7836,14.14,,TG
TG 18:1_18:2_20:3,C59 H102 O6,906.7678,13.48,,TG
TG 18:1_18:2_20:4,C59 H100 O6,904.7517,13.27,,TG
TG 18:1_20:1_22:4,C63 H110 O6,962.8304,14.34,,TG
TG 18:2_18:2_18:2,C57 H98 O6,878.7362,12.98,,TG
TG 18:2_18:2_18:3,C57 H96 O6,876.7205,12.5,,TG
TG 20:1_22:1_22:1,C67 H124 O6,1024.9393,14.76,,TG
TG 22:0_22:0_22:1,C69 H132 O6,1057.0005,14.97,,TG
TG 22:0_22:1_22:1,C69 H130 O6,1054.9862,14.9,,TG
TG 22:1_22:1_22:1,C69 H128 O6,1052.9707,14.82,,TG
TG 24:0|TG 8:0_8:0_8:0,C27 H50 O6,470.3608,5.34,,TG
TG 26:0|TG 8:0_8:0_10:0,C29 H54 O6,498.3927,6.15,,TG
TG 26:0|TG 8:0_8:0_10:0,C29 H54 O6,498.3927,6.15,,TG
TG 28:0|TG 8:0_10:0_10:0,C31 H58 O6,526.4241,7.05,,TG
TG 38:1|TG 8:0_14:0_16:1,C41 H76 O6,664.5636,10.53,,TG
TG 40:0|TG 12:0_14:0_14:0,C43 H82 O6,694.6114,12.11,,TG
TG 40:1|TG 8:0_16:0_16:1,C43 H80 O6,692.5949,11.31,,TG
TG 40:2|TG 8:0_16:1_16:1,C43 H78 O6,690.58,10.53,,TG
TG 40:2|TG 8:0_16:1_16:1,C43 H78 O6,690.58,10.53,,TG
TG 41:1|TG 11:0_14:0_16:1,C44 H82 O6,706.6109,11.67,,TG
TG 41:2|TG 11:0_14:1_16:1,C44 H80 O6,704.5955,10.98,,TG
TG 42:0|TG 10:0_14:0_18:0,C45 H86 O6,722.6424,12.75,,TG
TG 42:1,C45 H84 O6,720.6269,12.17,,TG
TG 42:1|TG 12:0_14:0_16:1,C45 H84 O6,720.6266,12.11,,TG
TG 42:2,C45 H82 O6,718.6108,11.58,,TG
TG 42:2|TG 10:0_14:1_18:1,C45 H82 O6,718.6111,11.39,,TG
TG 42:3|TG 14:1_14:1_14:1,C45 H80 O6,716.5961,10.86,,TG
TG 43:0|TG 14:0_14:0_15:0,C46 H88 O6,736.6583,12.95,,TG
TG 43:1,C46 H86 O6,734.6422,12.42,,TG
TG 43:1|TG 11:0_16:0_16:1,C46 H86 O6,734.6421,12.33,,TG
TG 43:2,C46 H84 O6,732.6275,11.75,,TG
TG 43:2|TG 11:0_16:1_16:1,C46 H84 O6,732.6275,11.67,,TG
TG 43:3|TG 13:1_14:1_16:1,C46 H82 O6,730.6109,11.09,,TG
TG 44:0|TG 14:0_14:0_16:0,C47 H90 O6,750.674,13.35,,TG
TG 44:1|TG 10:0_16:0_18:1,C47 H88 O6,748.6579,12.74,,TG
TG 44:2,C47 H86 O6,746.6425,12.21,,TG
TG 44:2|TG 10:0_16:1_18:1,C47 H86 O6,746.6422,12.12,,TG
TG 44:3|TG 14:1_14:1_16:1,C47 H84 O6,744.6269,11.54,,TG
TG 44:4,C47 H82 O6,742.611,10.97,,TG
TG 45:0|TG 14:0_15:0_16:0,C48 H92 O6,764.6892,13.55,,TG
TG 45:1|TG 14:0_15:0_16:1,C48 H90 O6,762.6736,12.94,,TG
TG 45:2|TG 15:0_14:1_16:1,C48 H88 O6,760.658,12.33,,TG
TG 45:3,C48 H86 O6,758.6434,11.82,,TG
TG 45:3|TG 14:1_15:1_16:1,C48 H86 O6,758.644,11.77,,TG
TG 46:0|TG 12:0_14:0_20:0,C49 H94 O6,778.705,13.9,,TG
TG 46:1|TG 14:0_16:0_16:1,C49 H92 O6,776.6892,13.33,,TG
TG 46:2,C49 H90 O6,774.6738,12.8,,TG
TG 46:2;O|TG 14:0_16:1_16:1;O,C49 H90 O7,790.6685,11.02,,TG
TG 46:2|TG 14:0_16:1_16:1,C49 H90 O6,774.6735,12.73,,TG
TG 46:3,C49 H88 O6,772.6581,12.24,,TG
TG 46:3|TG 14:1_16:1_16:1,C49 H88 O6,772.6579,12.13,,TG
TG 46:4,C49 H86 O6,770.6426,11.66,,TG
TG 46:4|TG 10:0_18:2_18:2,C49 H86 O6,770.6425,11.61,,TG
TG 46:5,C49 H84 O6,768.6266,11.07,,TG
TG 47:0|TG 14:0_16:0_17:0,C50 H96 O6,792.7207,14.11,,TG
TG 47:1|TG 15:0_16:0_16:1,C50 H94 O6,790.705,13.52,,TG
TG 47:2|TG 15:0_16:1_16:1,C50 H92 O6,788.6891,12.92,,TG
TG 47:3,C50 H90 O6,786.6744,12.49,,TG
TG 47:3;O|TG 15:0_16:1_16:2;O,C50 H90 O7,802.6687,10.62,,TG
TG 47:3|TG 15:1_16:1_16:1,C50 H90 O6,786.6735,12.41,,TG
TG 48:0|TG 14:0_16:0_18:0,C51 H98 O6,806.7364,14.28,,TG
TG 48:1|TG 12:0_18:0_18:1,C51 H96 O6,804.7171,13.37,,TG
TG 48:1|TG 14:0_16:0_18:1,C51 H96 O6,804.7207,13.87,,TG
TG 48:2;O|TG 16:0_16:1_16:1;O,C51 H94 O7,818.6999,11.7,,TG
TG 48:2;O2|TG 16:0_16:0_16:2;O2,C51 H94 O8,834.6947,10.84,,TG
TG 48:2|TG 14:0_16:1_18:1,C51 H94 O6,802.7049,13.33,,TG
TG 48:3;O|TG 16:0_16:1_16:2;O,C51 H92 O7,816.6839,11.01,,TG
TG 48:3;O2|TG 16:1_16:1_16:1;O2,C51 H92 O8,832.6789,10.22,,TG
TG 48:3|TG 16:1_16:1_16:1,C51 H92 O6,800.689,12.72,,TG
TG 48:4|TG 12:0_18:1_18:3,C51 H90 O6,798.6739,12.25,,TG
TG 48:5,C51 H88 O6,796.6592,11.76,,TG
TG 49:0,C52 H100 O6,820.7522,14.39,,TG
TG 49:0|TG 15:0_16:0_18:0,C52 H100 O6,820.7519,14.37,,TG
TG 49:1|TG 15:0_16:0_18:1,C52 H98 O6,818.7361,14.11,,TG
TG 49:2,C52 H96 O6,816.7206,13.65,,TG
TG 49:2|TG 15:0_16:0_18:2,C52 H96 O6,816.7205,13.6,,TG
TG 49:3|TG 15:1_16:1_18:1,C52 H94 O6,814.7056,13.05,,TG
TG 50:0|TG 16:0_16:0_18:0,C53 H102 O6,834.7594,14.28,,TG
TG 50:0|TG 16:0_16:0_18:0,C53 H102 O6,834.7679,14.46,,TG
TG 50:0|TG 16:0_16:0_18:0,C53 H102 O6,834.7682,13.92,,TG
TG 50:1;O|TG 16:0_18:0_16:1;O,C53 H100 O7,848.7461,12.91,,TG
TG 50:1|TG 16:0_16:0_18:1,C53 H100 O6,832.7529,14.27,,TG
TG 50:2;O|TG 14:0_18:1_18:1;O,C53 H98 O7,846.7312,12.35,,TG
TG 50:2;O|TG 16:0_16:1_18:1;O,C53 H98 O7,846.7312,12.16,,TG
TG 50:2|TG 16:0_16:1_18:1,C53 H98 O6,830.7272,13.39,,TG
TG 50:2|TG 16:0_16:1_18:1,C53 H98 O6,830.7368,13.87,,TG
TG 50:3;O|TG 16:0_18:1_16:2;O,C53 H96 O7,844.7154,11.75,,TG
TG 50:3|TG 14:0_18:1_18:2,C53 H96 O6,828.7206,13.37,,TG
TG 50:4|TG 14:0_18:1_18:3,C53 H94 O6,826.7046,12.86,,TG
TG 50:5|TG 14:0_18:2_18:3,C53 H92 O6,824.6894,12.37,,TG
TG 51:0|TG 16:0_17:0_18:0,C54 H104 O6,848.7832,14.51,,TG
TG 51:1,C54 H102 O6,846.7678,14.39,,TG
TG 51:1|TG 16:0_17:0_18:1,C54 H102 O6,846.7676,14.36,,TG
TG 51:2|TG 16:0_17:1_18:1,C54 H100 O6,844.7519,14.1,,TG
TG 51:3,C54 H98 O6,842.7362,13.67,,TG
TG 51:3|TG 15:0_18:1_18:2,C54 H98 O6,842.736,13.64,,TG
TG 51:3|TG 17:1_17:1_17:1,C54 H98 O6,842.7361,13.64,,TG
TG 51:4|TG 16:1_17:1_18:2,C54 H96 O6,840.7207,13.14,,TG
TG 51:5,C54 H94 O6,838.7047,12.78,,TG
TG 51:5|TG 15:1_18:2_18:2,C54 H94 O6,838.7054,12.72,,TG
TG 52:0,C55 H106 O6,862.7989,14.59,,TG
TG 52:0|TG 16:0_18:0_18:0,C55 H106 O6,862.7991,14.57,,TG
TG 52:1;O|TG 16:0_18:0_18:1;O,C55 H104 O7,876.7803,13.43,,TG
TG 52:1|TG 16:0_18:0_18:1,C55 H104 O6,860.7846,14.45,,TG
TG 52:2;O|TG 16:0_18:1_18:1;O,C55 H102 O7,874.7626,12.91,,TG
TG 52:2;O|TG 16:0_18:1_18:1;O,C55 H102 O7,874.7629,12.75,,TG
TG 52:2|TG 16:0_18:1_18:1,C55 H102 O6,858.7688,14.26,,TG
TG 52:2|TG 16:0_18:1_18:1,C55 H102 O6,858.7666,13.4,,TG
TG 52:3;O|TG 16:0_18:1_18:2;O,C55 H100 O7,872.7462,11.81,,TG
TG 52:3;O|TG 16:0_18:1_18:2;O,C55 H100 O7,872.7468,12.16,,TG
TG 52:3;O|TG 18:1_18:1_16:1;O,C55 H100 O7,872.7469,12.33,,TG
TG 52:3|TG 16:0_18:1_18:2,C55 H100 O6,856.7514,14.6,,TG
TG 52:3|TG 16:1_18:1_18:1,C55 H100 O6,856.7531,13.9,,TG
TG 52:4;O|TG 16:0_18:2_18:2;O,C55 H98 O7,870.7311,11.59,,TG
TG 52:4;O|TG 18:1_18:2_16:1;O,C55 H98 O7,870.7308,11.23,,TG
TG 52:4|TG 16:0_18:2_18:2,C55 H98 O6,854.7365,13.41,,TG
TG 52:4|TG 16:0_18:2_18:2,C55 H98 O6,854.7365,13.41,,TG
TG 52:5;O|TG 18:1_18:2_16:2;O,C55 H96 O7,868.7152,11.15,,TG
TG 52:5|TG 16:1_18:2_18:2,C55 H96 O6,852.7204,12.87,,TG
TG 52:6|TG 16:1_18:2_18:3,C55 H94 O6,850.706,12.39,,TG
TG 53:0,C56 H108 O6,876.8147,14.61,,TG
TG 53:0|TG 14:0_16:0_23:0,C56 H108 O6,876.8144,14.6,,TG
TG 53:1|TG 17:0_18:0_18:1,C56 H106 O6,874.7988,14.5,,TG
TG 53:2|TG 17:0_18:1_18:1,C56 H104 O6,872.7832,14.35,,TG
TG 53:3|TG 17:1_18:1_18:1,C56 H102 O6,870.7673,14.1,,TG
TG 53:4|TG 17:1_18:1_18:2,C56 H100 O6,868.7516,13.64,,TG
TG 53:5|TG 17:1_18:2_18:2,C56 H98 O6,866.7362,13.14,,TG
TG 53:6|TG 17:1_18:2_18:3,C56 H96 O6,864.721,12.67,,TG
TG 53:8,C56 H92 O6,860.6904,11.56,,TG
TG 54:0|TG 16:0_18:0_20:0,C57 H110 O6,890.8292,14.66,,TG
TG 54:1|TG 18:0_18:0_18:1,C57 H108 O6,888.8148,14.56,,TG
TG 54:2;O|TG 18:0_18:1_18:1;O,C57 H106 O7,902.8028,13.39,,TG
TG 54:2;O|TG 18:0_18:1_18:1;O,C57 H106 O7,902.806,13.42,,TG
TG 54:2|TG 18:0_18:1_18:1,C57 H106 O6,886.7901,14.24,,TG
TG 54:2|TG 18:0_18:1_18:1,C57 H106 O6,886.7998,14.44,,TG
TG 54:3;O|TG 18:1_18:1_18:1;O,C57 H104 O7,900.7784,12.73,,TG
TG 54:3|TG 18:1_18:1_18:1,C57 H104 O6,884.7845,16.21,,TG
TG 54:3|TG 18:1_18:1_18:1,C57 H104 O6,884.7842,14.24,,TG
TG 54:4;O|TG 18:1_18:1_18:2;O,C57 H102 O7,898.7623,12.15,,TG
TG 54:4;O2|TG 18:1_18:1_18:2;O2,C57 H102 O8,914.7572,11.6,,TG
TG 54:4|TG 18:1_18:1_18:2,C57 H102 O6,882.7681,13.88,,TG
TG 54:5;O|TG 18:1_18:2_18:2;O,C57 H100 O7,896.7466,11.59,,TG
TG 54:5;O2|TG 18:1_18:1_18:3;O2,C57 H100 O8,912.7411,11.05,,TG
TG 54:5|TG 16:0_18:1_20:4,C57 H100 O6,880.7518,13.72,,TG
TG 54:5|TG 18:1_18:2_18:2,C57 H100 O6,880.7519,13.41,,TG
TG 54:5|TG 18:1_18:2_18:2,C57 H100 O6,880.7538,14.51,,TG
TG 54:6;O|TG 18:2_18:2_18:2;O,C57 H98 O7,894.7309,11.02,,TG
TG 54:6|TG 16:0_18:2_20:4,C57 H98 O6,878.7359,13.24,,TG
TG 54:6|TG 18:1_18:2_18:3,C57 H98 O6,878.736,12.93,,TG
TG 54:7|TG 18:2_18:2_18:3,C57 H96 O6,876.7205,12.44,,TG
TG 55:1|TG 18:0_19:0_18:1,C58 H110 O6,902.8292,14.6,,TG
TG 55:2|TG 18:0_18:1_19:1,C58 H108 O6,900.8138,14.49,,TG
TG 55:3|TG 18:1_18:1_19:1,C58 H106 O6,898.7992,14.35,,TG
TG 55:4|TG 18:1_19:1_18:2,C58 H104 O6,896.7835,14.1,,TG
TG 55:5|TG 18:1_18:2_19:2,C58 H102 O6,894.7678,13.65,,TG
TG 55:6,C58 H100 O6,892.7524,13.31,,TG
TG 55:6|TG 18:2_18:2_19:2,C58 H100 O6,892.7523,13.46,,TG
TG 56:1|TG 18:0_20:0_18:1,C59 H112 O6,916.8447,14.65,,TG
TG 56:2|TG 18:0_18:1_20:1,C59 H110 O6,914.8303,14.55,,TG
TG 56:3|TG 18:1_18:1_20:1,C59 H108 O6,912.8144,14.42,,TG
TG 56:4|TG 18:1_20:1_18:2,C59 H106 O6,910.7992,14.24,,TG
TG 56:5,C59 H104 O6,908.7836,13.96,,TG
TG 56:5|TG 18:1_18:2_20:2,C59 H104 O6,908.7836,13.9,,TG
TG 56:6|TG 18:1_18:1_20:4,C59 H102 O6,906.7671,13.7,,TG
TG 56:6|TG 18:1_18:2_20:3,C59 H102 O6,906.7676,13.43,,TG
TG 56:7,C59 H100 O6,904.7521,13.02,,TG
TG 56:7|TG 18:1_18:2_20:4,C59 H100 O6,904.7516,13.22,,TG
TG 56:7|TG 18:2_18:2_20:3,C59 H100 O6,904.752,12.95,,TG
TG 56:8,C59 H98 O6,902.7363,12.78,,TG
TG 56:8|TG 18:2_18:2_20:4,C59 H98 O6,902.7366,12.74,,TG
TG 56:8|TG 18:2_18:2_20:4,C59 H98 O6,902.7366,12.74,,TG
TG 57:1|TG 16:0_23:0_18:1,C60 H114 O6,930.8605,14.68,,TG
TG 57:2|TG 15:0_20:1_22:1,C60 H112 O6,928.845,14.57,,TG
TG 57:3;O2|TG 16:0_16:1_9:0;O(FA 16:1),C60 H110 O8,958.82,13.65,,TG
TG 57:3|TG 18:1_19:1_20:1,C60 H110 O6,926.8303,14.48,,TG
TG 57:4|TG 18:1_21:1_18:2,C60 H108 O6,924.8146,14.35,,TG
TG 57:5|TG 18:1_19:1_20:3,C60 H106 O6,922.7987,14.15,,TG
TG 58:1,C61 H116 O6,944.8762,14.73,,TG
TG 58:1|TG 16:0_24:0_18:1,C61 H116 O6,944.8764,14.72,,TG
TG 58:2,C61 H114 O6,942.8606,14.65,,TG
TG 58:2|TG 18:0_18:1_22:1,C61 H114 O6,942.86,14.63,,TG
TG 58:3,C61 H112 O6,940.8457,14.55,,TG
TG 58:3|TG 18:1_20:1_20:1,C61 H112 O6,940.8453,14.54,,TG
TG 58:4|TG 18:1_20:1_20:2,C61 H110 O6,938.8305,14.41,,TG
TG 58:5|TG 18:0_18:1_22:4,C61 H108 O6,936.8142,14.29,,TG
TG 58:6|TG 18:1_18:1_22:4,C61 H106 O6,934.7992,14.07,,TG
TG 58:7,C61 H104 O6,932.7836,13.7,,TG
TG 58:7|TG 18:1_18:2_22:4,C61 H104 O6,932.7834,13.65,,TG
TG 58:8,C61 H102 O6,930.7678,13.24,,TG
TG 58:8|TG 18:1_18:2_22:5,C61 H102 O6,930.768,13.19,,TG
TG 59:1|TG 15:0_22:0_22:1,C62 H118 O6,958.8924,14.74,,TG
TG 59:2|TG 15:0_22:1_22:1,C62 H116 O6,956.8767,14.64,,TG
TG 59:4;O2|TG 14:1_15:1_14:0;O(FA 16:1),C62 H112 O8,984.8362,13.41,,TG
TG 60:2|TG 22:0_16:1_22:1,C63 H118 O6,970.8917,14.7,,TG
TG 60:3,C63 H116 O6,968.8766,14.63,,TG
TG 60:3;O2|TG 18:1_18:1_8:0;O(FA 16:0),C63 H116 O8,1000.8662,14.21,,TG
TG 60:3|TG 16:1_22:1_22:1,C63 H116 O6,968.8766,14.62,,TG
TG 60:6|TG 18:1_20:1_22:4,C63 H110 O6,962.8302,14.32,,TG
TG 60:7|TG 18:1_20:2_22:4,C63 H108 O6,960.8147,14.08,,TG
TG 61:2|TG 15:0_22:1_24:1,C64 H120 O6,984.9079,14.72,,TG
TG 61:3|TG 16:1_22:1_23:1,C64 H118 O6,982.8926,14.64,,TG
TG 62:3,C65 H120 O6,996.9085,14.7,,TG
TG 62:3|TG 16:1_22:1_24:1,C65 H120 O6,996.9075,14.69,,TG
TG 62:6|TG 18:1_20:1_24:4,C65 H114 O6,990.8608,14.44,,TG
TG 63:2|TG 23:0_16:1_24:1,C66 H124 O6,1012.9392,14.77,,TG
TG 63:3|TG 16:1_23:1_24:1,C66 H122 O6,1010.9238,14.71,,TG
TG 64:1|TG 22:0_24:0_18:1,C67 H128 O6,1028.97,14.79,,TG
TG 64:2,C67 H126 O6,1026.9546,14.84,,TG
TG 64:4;O2|TG 14:1_16:1_18:0;O(FA 16:1),C67 H122 O8,1054.915,14.37,,TG
TG 65:2|TG 21:0_22:1_22:1,C68 H128 O6,1040.9705,14.8,,TG
TG 65:3|TG 20:1_22:1_23:1,C68 H126 O6,1038.9552,14.77,,TG
TG 66:1|TG 24:0_24:0_18:1,C69 H132 O6,1057.0028,14.87,,TG
TG 66:3|TG 22:1_22:1_22:1,C69 H128 O6,1052.9708,14.81,,TG
TG 68:3;O2|TG 16:0_18:1_18:1;O(FA 16:0),C71 H132 O8,1112.9926,14.62,,TG
TG 68:5;O2|TG 18:1_18:2_18:0;O(FA 14:1),C71 H128 O8,1108.9601,14.5,,TG
TG 69:3;O2|TG 17:0_17:0_18:2;O(FA 17:0),C72 H134 O8,1127.0081,14.61,,TG
TG 70:6;O2|TG 18:1_18:2_18:1;O(FA 16:1),C73 H130 O8,1134.9761,14.51,,TG
TG O-51:9|TG O-15:1_18:4_18:4,C54 H88 O5,816.6639,12.72,,TG
TG_d5 51:4|TG_d5 16:1_17:1_18:2,C54 H91 O6,835.6912,14.05,,TG_d5
TG_d5 51:4|TG_d5 17:0_17:2_17:2,C54 H91 O6,835.6795,13.03,,TG_d5
TG_d5 53:3|TG_d5 17:1_18:1_18:1,C56 H97 O6,865.7386,14.51,,TG_d5
TG_d5 54:6|TG_d5 18:2_18:2_18:2,C57 H93 O6,873.6961,13.9,,TG_d5
TG_d5 54:7|TG_d5 18:2_18:2_18:3,C57 H91 O6,871.6827,13.45,,TG_d5
TG_d5 56:6|TG_d5 18:2_18:2_20:2,C59 H97 O6,901.7295,14.24,,TG_d5
TG_d5 56:7|TG_d5 18:2_20:2_18:3,C59 H95 O6,899.713,13.89,,TG_d5
TG_d5 56:8|TG_d5 18:2_18:3_20:3,C59 H93 O6,897.6983,13.45,,TG_d5
TG_d5 60:5|TG_d5 22:1_18:2_20:2,C63 H107 O6,959.8097,14.57,,TG_d5
TG_d5 66:0|TG_d5 22:0_22:0_22:0,C69 H129 O6,1053.978,14.81,,TG_d5
