CompoundName,Formula,Mass,RT,LipidClass,LipidABV
Cer_ADS d30:0_22:1,C52 H103 N O4,805.7883,13.77,,Cer_ADS
Cer_ADS d31:0,C31 H63 N O4,513.4759,6.84,,Cer_ADS
Cer_ADS d31:0,C31 H63 N O4,513.4759,6.84,,Cer_ADS
Cer_ADS d32:0,C32 H65 N O4,527.4915,7.34,,Cer_ADS
Cer_ADS d32:0,C32 H65 N O4,527.4911,6.8,,Cer_ADS
Cer_ADS d32:1,C32 H63 N O4,525.4762,6.88,,Cer_ADS
Cer_ADS d33:0,C33 H67 N O4,541.5074,7.87,,Cer_ADS
Cer_ADS d33:1,C33 H65 N O4,539.4918,7.42,,Cer_ADS
Cer_ADS d34:1,C34 H67 N O4,553.5074,7.92,,Cer_ADS
Cer_ADS d36:0,C36 H73 N O4,583.5542,9.26,,Cer_ADS
Cer_ADS d36:0,C36 H73 N O4,583.5543,9.25,,Cer_ADS
Cer_ADS d37:0,C37 H75 N O4,597.5696,9.22,,Cer_ADS
Cer_ADS d37:0,C37 H75 N O4,597.5697,9.75,,Cer_ADS
Cer_ADS d37:0,C37 H75 N O4,597.5692,8.68,,Cer_ADS
Cer_ADS d37:0,C37 H75 N O4,597.5697,9.72,,Cer_ADS
Cer_ADS d38:0,C38 H77 N O4,611.5853,9.7,,Cer_ADS
Cer_ADS d38:0,C38 H77 N O4,611.5849,9.13,,Cer_ADS
Cer_ADS d38:0,C38 H77 N O4,611.5854,10.14,,Cer_ADS
Cer_ADS d38:0,C38 H77 N O4,611.5849,9.12,,Cer_ADS
Cer_ADS d38:1,C38 H75 N O4,609.5695,9.8,,Cer_ADS
Cer_ADS d39:0,C39 H79 N O4,625.6009,10.11,,Cer_ADS
Cer_ADS d39:0,C39 H79 N O4,625.601,10.59,,Cer_ADS
Cer_ADS d39:0,C39 H79 N O4,625.6009,10.09,,Cer_ADS
Cer_ADS d40:0,C40 H81 N O4,639.6166,10.55,,Cer_ADS
Cer_ADS d40:0,C40 H81 N O4,639.6166,10.53,,Cer_ADS
Cer_ADS d40:0,C40 H81 N O4,639.6168,10.98,,Cer_ADS
Cer_ADS d40:1,C40 H79 N O4,637.6008,9.7,,Cer_ADS
Cer_ADS d40:1,C40 H79 N O4,637.6007,10.63,,Cer_ADS
Cer_ADS d41:0,C41 H83 N O4,653.6321,10.94,,Cer_ADS
Cer_ADS d41:0,C41 H83 N O4,653.6317,10.49,,Cer_ADS
Cer_ADS d41:0,C41 H83 N O4,653.6323,11.38,,Cer_ADS
Cer_ADS d41:0,C41 H83 N O4,653.6321,10.92,,Cer_ADS
Cer_ADS d41:0,C41 H83 N O4,653.6318,10.46,,Cer_ADS
Cer_ADS d41:1,C41 H81 N O4,651.6162,11.06,,Cer_ADS
Cer_ADS d41:1,C41 H81 N O4,651.6163,11.04,,Cer_ADS
Cer_ADS d42:0,C42 H85 N O4,667.6479,11.35,,Cer_ADS
Cer_ADS d42:0,C42 H85 N O4,667.6478,11.33,,Cer_ADS
Cer_ADS d42:0,C42 H85 N O4,667.6475,10.85,,Cer_ADS
Cer_ADS d42:0,C42 H85 N O4,667.6481,11.74,,Cer_ADS
Cer_ADS d42:1,C42 H83 N O4,665.6321,10.55,,Cer_ADS
Cer_ADS d42:1,C42 H83 N O4,665.6322,10.53,,Cer_ADS
Cer_ADS d42:1,C42 H83 N O4,665.6319,10.08,,Cer_ADS
Cer_ADS d43:0,C43 H87 N O4,681.6631,11.28,,Cer_ADS
Cer_ADS d44:0,C44 H89 N O4,695.6791,12.07,,Cer_ADS
Cer_ADS d44:0,C44 H89 N O4,695.6794,12.45,,Cer_ADS
Cer_ADS d44:0,C44 H89 N O4,695.6791,12.06,,Cer_ADS
Cer_ADS d44:1,C44 H87 N O4,693.6635,11.31,,Cer_ADS
Cer_ADS d45:0,C45 H91 N O4,709.6947,12.4,,Cer_ADS
Cer_ADS d45:0,C45 H91 N O4,709.6943,11.97,,Cer_ADS
Cer_ADS d45:1,C45 H89 N O4,707.6791,11.67,,Cer_ADS
Cer_ADS d45:1,C45 H89 N O4,707.6792,11.66,,Cer_ADS
Cer_ADS d46:0,C46 H93 N O4,723.7106,12.73,,Cer_ADS
Cer_ADS d46:0,C46 H93 N O4,723.7105,12.72,,Cer_ADS
Cer_ADS d46:0,C46 H93 N O4,723.7098,12.3,,Cer_ADS
Cer_ADS d46:1,C46 H91 N O4,721.6947,12.03,,Cer_ADS
Cer_ADS d46:1,C46 H91 N O4,721.6942,11.65,,Cer_ADS
Cer_ADS d47:0,C47 H95 N O4,737.726,13.02,,Cer_ADS
Cer_ADS d47:0,C47 H95 N O4,737.7265,13.36,,Cer_ADS
Cer_ADS d47:0,C47 H95 N O4,737.726,13.01,,Cer_ADS
Cer_ADS d47:0,C47 H95 N O4,737.7256,12.63,,Cer_ADS
Cer_ADS d47:1,C47 H93 N O4,735.7102,10.31,,Cer_ADS
Cer_ADS d48:0,C48 H97 N O4,751.7417,13.33,,Cer_ADS
Cer_ADS d48:1,C48 H95 N O4,749.726,12.67,,Cer_ADS
Cer_ADS d48:2,C48 H93 N O4,747.7102,9.99,,Cer_ADS
Cer_ADS d49:0,C49 H99 N O4,765.7572,13.59,,Cer_ADS
Cer_ADS d49:0,C49 H99 N O4,765.7572,13.57,,Cer_ADS
Cer_ADS d49:1,C49 H97 N O4,763.7415,12.97,,Cer_ADS
Cer_ADS d50:0,C50 H101 N O4,779.7729,13.79,,Cer_ADS
Cer_ADS d50:1,C50 H99 N O4,777.7571,13.25,,Cer_ADS
Cer_ADS d50:1,C50 H99 N O4,777.757,12.95,,Cer_ADS
Cer_ADS d50:2,C50 H97 N O4,775.7414,10.74,,Cer_ADS
Cer_ADS d51:0,C51 H103 N O4,793.7884,14.1,,Cer_ADS
Cer_ADS d52:1,C52 H103 N O4,805.7883,13.77,,Cer_ADS
Cer_ADS d54:2,C54 H105 N O4,831.8041,13.73,,Cer_ADS
Cer_AP t15:1_18:1,C33 H63 N O5,553.469,6.88,,Cer_AP
Cer_AP t16:0_13:0,C29 H59 N O5,501.4394,5.09,,Cer_AP
Cer_AP t16:0_14:0,C30 H61 N O5,515.4549,5.53,,Cer_AP
Cer_AP t16:0_20:0,C36 H73 N O5,599.5487,8.47,,Cer_AP
Cer_AP t16:0_20:0,C36 H73 N O5,599.5487,8.38,,Cer_AP
Cer_AP t16:0_24:0,C40 H81 N O5,655.6113,10.26,,Cer_AP
Cer_AP t16:0_26:2,C42 H81 N O5,679.6109,9.77,,Cer_AP
Cer_AP t17:0_14:0,C31 H63 N O5,529.4706,6.02,,Cer_AP
Cer_AP t17:0_14:0,C31 H63 N O5,529.4706,6,,Cer_AP
Cer_AP t17:0_15:0,C32 H65 N O5,543.4862,6.49,,Cer_AP
Cer_AP t17:0_16:0,C33 H67 N O5,557.5021,6.99,,Cer_AP
Cer_AP t17:0_20:0,C37 H75 N O5,613.5644,8.9,,Cer_AP
Cer_AP t17:0_20:0,C37 H75 N O5,613.5645,8.88,,Cer_AP
Cer_AP t17:0_22:2,C39 H75 N O5,637.5643,8.09,,Cer_AP
Cer_AP t17:0_24:0,C41 H83 N O5,669.6271,10.65,,Cer_AP
Cer_AP t17:0_24:0,C41 H83 N O5,669.6271,10.65,,Cer_AP
Cer_AP t17:0_24:0,C41 H83 N O5,669.6271,10.64,,Cer_AP
Cer_AP t17:0_24:1,C41 H81 N O5,667.6115,9.78,,Cer_AP
Cer_AP t17:0_24:1,C41 H81 N O5,667.6113,9.76,,Cer_AP
Cer_AP t17:0_24:2,C41 H79 N O5,665.5955,8.92,,Cer_AP
Cer_AP t17:0_26:1,C43 H85 N O5,695.6425,10.6,,Cer_AP
Cer_AP t17:0_26:1,C43 H85 N O5,695.6424,10.58,,Cer_AP
Cer_AP t17:0_26:2,C43 H83 N O5,693.6268,8.11,,Cer_AP
Cer_AP t17:1_16:0,C33 H65 N O5,555.4861,5.99,,Cer_AP
Cer_AP t17:1_16:0,C33 H65 N O5,555.486,5.96,,Cer_AP
Cer_AP t18:0_14:0,C32 H65 N O5,543.4863,6.48,,Cer_AP
Cer_AP t18:0_15:0,C33 H67 N O5,557.502,6.97,,Cer_AP
Cer_AP t18:0_16:0,C34 H69 N O5,571.5175,7.47,,Cer_AP
Cer_AP t18:0_16:0,C34 H69 N O5,571.5176,7.44,,Cer_AP
Cer_AP t18:0_24:0,C42 H85 N O5,683.6426,11.1,,Cer_AP
Cer_AP t18:0_24:1,C42 H83 N O5,681.6267,10.15,,Cer_AP
Cer_AP t18:0_28:2,C46 H89 N O5,735.6729,11.39,,Cer_AP
Cer_AP t18:0_29:1,C47 H93 N O5,751.7053,12.1,,Cer_AP
Cer_AP t18:0_32:1,C50 H99 N O5,793.7521,10.32,,Cer_AP
Cer_AP t18:1_15:0,C33 H65 N O5,555.4864,5.76,,Cer_AP
Cer_AP t19:0_16:0,C35 H71 N O5,585.533,7.9,,Cer_AP
Cer_AP t19:0_24:0,C43 H87 N O5,697.6575,10.61,,Cer_AP
Cer_AP t20:0_23:0,C43 H87 N O5,697.658,10.59,,Cer_AP
Cer_AP t20:0_24:0,C44 H89 N O5,711.674,11.83,,Cer_AP
Cer_AP t20:0_30:0,C50 H101 N O5,795.7678,10.96,,Cer_AP
Cer_AP t21:0_28:0,C49 H99 N O5,781.7519,13.37,,Cer_AP
Cer_AP t22:0_24:0,C46 H93 N O5,739.7054,12.5,,Cer_AP
Cer_AP t22:0_26:2,C48 H93 N O5,763.7046,12.1,,Cer_AP
Cer_AP t22:0_27:0,C49 H99 N O5,781.7521,13.37,,Cer_AP
Cer_AP t22:0_30:1,C52 H103 N O5,821.7832,13.55,,Cer_AP
Cer_AP t23:2_23:0,C46 H89 N O5,735.6736,11.18,,Cer_AP
Cer_AP t24:0_15:0,C39 H79 N O5,641.5951,8.82,,Cer_AP
Cer_AP t25:1_15:0,C40 H79 N O5,653.5955,9.01,,Cer_AP
Cer_AP t26:1_18:0,C44 H87 N O5,709.658,11.36,,Cer_AP
Cer_AP t29:1_21:0,C50 H99 N O5,793.752,13.01,,Cer_AP
Cer_AP t30:0,C30 H61 N O5,515.455,5.52,,Cer_AP
Cer_AP t30:0_25:0,C55 H111 N O5,865.8471,7.42,,Cer_AP
Cer_AP t32:1,C32 H63 N O5,541.4706,5.87,,Cer_AP
Cer_AP t32:1,C32 H63 N O5,541.4707,5.87,,Cer_AP
Cer_AP t33:0,C33 H67 N O5,557.5015,6.01,,Cer_AP
Cer_AP t33:1,C33 H65 N O5,555.4863,6.35,,Cer_AP
Cer_AP t33:1,C33 H65 N O5,555.4862,5.77,,Cer_AP
Cer_AP t33:1,C33 H65 N O5,555.4863,6.34,,Cer_AP
Cer_AP t34:0,C34 H69 N O5,571.5171,6.63,,Cer_AP
Cer_AP t34:1,C34 H67 N O5,569.5021,6.84,,Cer_AP
Cer_AP t34:1,C34 H67 N O5,569.5021,6.83,,Cer_AP
Cer_AP t36:0,C36 H73 N O5,599.5486,7.35,,Cer_AP
Cer_AP t37:0,C37 H75 N O5,613.5644,8.9,,Cer_AP
Cer_AP t37:0,C37 H75 N O5,613.5643,7.9,,Cer_AP
Cer_AP t38:0,C38 H77 N O5,627.5799,9.4,,Cer_AP
Cer_AP t38:0,C38 H77 N O5,627.5797,9.02,,Cer_AP
Cer_AP t38:0,C38 H77 N O5,627.58,9.36,,Cer_AP
Cer_AP t39:0,C39 H79 N O5,641.5958,9.81,,Cer_AP
