CompoundID,CompoundName,Formula,Phase,Mass,RT,P3_ChloraPrep_EndPoint.1,P3_ChloraPrep_EndPoint.2,P3_ChloraPrep_EndPoint.3,P3_ChloraPrep_Baseline.1,P3_ChloraPrep_Baseline.2,P3_ChloraPrep_Baseline.3,P3_ChloraPrep_PostIntervention.1,P3_ChloraPrep_PostIntervention.2,P3_ChloraPrep_PostIntervention.3,P3_FullSurgicalPrep_EndPoint.1,P3_FullSurgicalPrep_EndPoint.2,P3_FullSurgicalPrep_EndPoint.3,P3_FullSurgicalPrep_Baseline.1,P3_FullSurgicalPrep_Baseline.2,P3_FullSurgicalPrep_Baseline.3,P3_FullSurgicalPrep_PostIntervention.1,P3_FullSurgicalPrep_PostIntervention.2,P3_FullSurgicalPrep_PostIntervention.3,P3_Water_EndPoint.1,P3_Water_EndPoint.2,P3_Water_EndPoint.3,P3_Water_Baseline.1,P3_Water_Baseline.2,P3_Water_Baseline.3,P3_Water_PostIntervention.1,P3_Water_PostIntervention.2,P3_Water_PostIntervention.3
PI.34:1__Np,PI 34:1,C43 H81 O13 P,Negative Phase,836.5412,7.59,50147.18874,47110.01112,85852.84162,129977.9377,178811.3857,199388.6143,175290.572,130023.0311,205780.3897,97027.29279,85755.59098,66173.05252,457382.332,98771.63325,238695.9214,111764.2767,109673.6795,170688.4101,103136.2378,57855.01456,86224.50332,197306.6735,198165.002,304873.053,88867.3338,31894.87531,82365.08275
PS.15:0_18:1(d7)__Np,PS 15:0_18:1(d7),C39 H67 D7 N O10 P,Negative Phase,754.5492,7.58,182583.7532,31427.49157,34172.50792,58293.18798,22390.18756,31757.13647,118398.8785,102137.7413,36183.48467,0,260956.3361,43297.20493,166803.0396,14815.50379,0,0,0,45987.90393,9177.047718,127465.6164,44863.7619,96181.5939,91090.54432,120321.8771,0,13895.47803,0
PS.16:1_18:3__Np,PS 16:1_18:3,C40 H70 N O10 P,Negative Phase,755.4713,6.72,0,0,30990.39229,123407.0314,183303.1982,186488.0897,120084.3593,94943.73905,63816.92017,0,0,0,544485.9429,281087.189,305374.4064,0,70713.19219,184191.9914,50411.55971,0,0,309409.7734,319822.0693,390957.2535,49823.78361,0,0
PS.18:0_18:1__Np,PS 18:0_18:1,C42 H80 N O10 P,Negative Phase,789.5517,8.86,479160.3598,47351.58795,329661.9107,276829.8766,162019.2027,714937.5623,1159730.316,325816.2341,1404071.055,437434.1384,1015359.062,599433.3504,178511.1793,29683.51207,758071.3331,896004.1275,692096.5769,630741.5791,0,385179.3091,193103.2609,255854.7213,397057.2455,105381.8046,918694.285,346831.6105,807115.5678
PS.18:0_18:2__Np,PS 18:0_18:2,C42 H78 N O10 P,Negative Phase,787.5361,8.16,51226.63875,0,494601.5012,190253.6678,113599.2316,37719.90984,602956.3802,196583.4419,1723643.125,179569.582,501657.5148,362086.2935,66997.36737,17961.69892,411892.1608,19467.0275,180945.4323,70111.97865,70765.60851,128083.5592,20060.81869,161630.2442,0,49479.24235,86622.52232,28184.73355,84580.25828
PS.18:0_20:3__Np,PS 18:0_20:3,C44 H80 N O10 P,Negative Phase,813.5517,8.58,0,0,0,0,0,0,0,13039.05761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67597.39657,0,0
PS.18:0_20:3_1__Np,PS 18:0_20:3_1,C44 H80 N O10 P,Negative Phase,813.5515,8.38,10756.00601,0,0,0,0,0,11222.90257,43329.19724,61817.49542,0,0,0,0,0,0,29494.98208,41669.63927,0,0,0,0,0,0,0,0,23677.46109,12431.90122
SM.d17:1_18:0__Np,SM d17:1_18:0,C40 H81 N2 O6 P,Negative Phase,716.583,7.87,88279.16313,134743.1184,249846.4853,425134.1553,256898.0607,334365.7737,240810.2922,185518.69,527199.9412,270459.3547,301109.4544,209379.824,343745.4348,199143.8785,297663.3406,309152.0201,245979.0554,286893.0596,74879.02674,226742.6844,199210.0848,285419.9046,293657.255,280154.8533,176427.6891,131939.2651,263166.5434
SM.d18:1_16:0__Np,SM d18:1_16:0,C39 H79 N2 O6 P,Negative Phase,702.5676,7.35,1829303.025,1960585.386,3527455.615,5213552.955,3631864.596,4918733.739,4123815.928,3167342.553,6877979.584,3472208.633,4381475.322,3725969.64,4959748.652,3548754.615,5138585.181,4751236.194,3520984.416,4067759.005,2789678.562,3308028.644,2712184.974,4283212.805,4828296.507,3971110.86,3660003.097,2899165.694,3959951.743
SM.d18:1_18:1(d9)__Np,SM d18:1_18:1(d9),C41 H72 D9 N2 O6 P,Negative Phase,737.6397,7.4,2827762.996,3884409.951,4125964.229,2856719.539,3534281.223,4537934.016,4063383.939,3322538.905,3836184.79,3930998.039,5098986.969,4492940.034,4208919.709,4123009.012,3916106.109,5049941.642,2905278.389,3863266.935,2544663.399,4381139.322,3238339.922,2966089.187,5360301.095,3439938.96,2477349.62,2790533.669,2850844.896
